step,layer,henrici,curvature,excess_noise,frobenius,alpha,beta
500,0,0.7584599382396078,13.82532024383545,155.6536636352539,16.449270248413086,1.0,0.0
500,1,0.7509624562451267,13.015416145324707,153.892822265625,16.51926612854004,1.0,0.0
500,2,0.7464045623263645,12.081463813781738,150.1139907836914,16.414819717407227,1.0,0.0
500,3,0.7445188417224444,11.620752334594727,148.0352325439453,16.342050552368164,1.0,0.0
500,4,0.7436500982957294,11.15352725982666,144.39026641845703,16.15846824645996,1.0,0.0
500,5,0.7406577900930424,10.92534065246582,142.68631744384766,16.127735137939453,1.0,0.0
1000,0,0.7736496036809916,17.27663803100586,180.6323699951172,17.372140884399414,1.0,0.0
1000,1,0.7583127935048439,14.615714073181152,169.78084564208984,17.18287467956543,1.0,0.0
1000,2,0.7574231436060401,14.021652221679688,168.23931884765625,17.12476921081543,1.0,0.0
1000,3,0.7603205475392788,15.073244094848633,177.28482055664062,17.51212501525879,1.0,0.0
1000,4,0.7576977245071432,15.432994842529297,178.20046997070312,17.618061065673828,1.0,0.0
1000,5,0.7562397519801843,16.358509063720703,183.01553344726562,17.888931274414062,1.0,0.0
1500,0,0.7961721959235928,23.406572341918945,231.42926025390625,19.107421875,1.0,0.0
1500,1,0.769997293869275,18.62009048461914,204.36204528808594,18.565671920776367,1.0,0.0
1500,2,0.7666940070374855,17.897159576416016,201.2385711669922,18.502613067626953,1.0,0.0
1500,3,0.775499252651777,19.306610107421875,216.85067749023438,18.98886489868164,1.0,0.0
1500,4,0.776508556499698,21.75341033935547,226.64114379882812,19.387554168701172,1.0,0.0
1500,5,0.769628083705369,24.629186630249023,230.09048461914062,19.70915985107422,1.0,0.0
2000,0,0.8117119548524612,29.70689582824707,286.9840393066406,20.87019920349121,1.0,0.0
2000,1,0.7751200034292434,22.40138053894043,234.93478393554688,19.774452209472656,1.0,0.0
2000,2,0.7699101862477427,21.565324783325195,231.35833740234375,19.75614356994629,1.0,0.0
2000,3,0.7788592416427434,22.55191421508789,248.59024047851562,20.243364334106445,1.0,0.0
2000,4,0.7872379479442378,26.860736846923828,272.57456970214844,20.971820831298828,1.0,0.0
2000,5,0.7750571748657482,32.15223693847656,264.77952575683594,20.9946231842041,1.0,0.0
2500,0,0.8222304538389049,35.247840881347656,339.6800231933594,22.41513442993164,1.0,0.0
2500,1,0.7763809112352134,25.384706497192383,259.82347106933594,20.761764526367188,1.0,0.0
2500,2,0.7687996174487228,25.135225296020508,256.9828643798828,20.8515567779541,1.0,0.0
2500,3,0.7860097844204423,28.05862045288086,301.3269805908203,22.084678649902344,1.0,0.0
2500,4,0.7956860739109973,31.964786529541016,318.4595031738281,22.427711486816406,1.0,0.0
2500,5,0.7795779864138266,38.5274772644043,294.21771240234375,22.002620697021484,1.0,0.0
3000,0,0.829587320664623,40.40150833129883,390.45765686035156,23.81905746459961,1.0,0.0
3000,1,0.7776753968199992,27.630157470703125,279.82945251464844,21.5103759765625,1.0,0.0
3000,2,0.7692059273731527,28.412017822265625,280.25408935546875,21.763708114624023,1.0,0.0
3000,3,0.7825596210304779,30.920686721801758,323.22044372558594,22.97374725341797,1.0,0.0
3000,4,0.8001146791408046,36.99172592163086,360.3791961669922,23.726146697998047,1.0,0.0
3000,5,0.7792281964656147,42.55670928955078,316.6005401611328,22.834476470947266,1.0,0.0
3500,0,0.8335781136773668,44.67261505126953,432.9889373779297,24.962711334228516,1.0,0.0
3500,1,0.7760984618278697,29.62508773803711,296.18365478515625,22.174985885620117,1.0,0.0
3500,2,0.7651651085989513,31.41153335571289,295.7284240722656,22.47455406188965,1.0,0.0
3500,3,0.7783501229065586,33.61481475830078,340.12904357910156,23.694442749023438,1.0,0.0
3500,4,0.8034385258777794,42.108787536621094,401.9120330810547,24.952423095703125,1.0,0.0
3500,5,0.779283215005845,48.66595458984375,341.81951904296875,23.72480583190918,1.0,0.0
4000,0,0.8357747353488434,47.59074783325195,468.4983825683594,25.897911071777344,1.0,0.0
4000,1,0.7748488802628398,30.931745529174805,307.8257141113281,22.643077850341797,1.0,0.0
4000,2,0.7621478527187278,32.98164367675781,308.1285705566406,23.03172492980957,1.0,0.0
4000,3,0.7726048168874378,35.93204116821289,352.3581848144531,24.295982360839844,1.0,0.0
4000,4,0.8039860296610674,46.13654327392578,438.6795654296875,26.051025390625,1.0,0.0
4000,5,0.7801230864511475,53.18403625488281,367.0038757324219,24.556800842285156,1.0,0.0
4500,0,0.8362241318255678,49.78368377685547,497.1883239746094,26.664756774902344,1.0,0.0
4500,1,0.7719027829767963,31.6555118560791,315.2026824951172,23.000225067138672,1.0,0.0
4500,2,0.7599681862590041,34.78575134277344,317.93971252441406,23.462621688842773,1.0,0.0
4500,3,0.7680032905371079,39.55470275878906,364.5862121582031,24.862028121948242,1.0,0.0
4500,4,0.8048189329412058,49.05694580078125,470.2649688720703,26.94466209411621,1.0,0.0
4500,5,0.7811460478136955,59.377540588378906,397.4517517089844,25.521692276000977,1.0,0.0
5000,0,0.8364490671576382,51.19943618774414,520.1137847900391,27.265254974365234,1.0,0.0
5000,1,0.769969850396371,32.6102409362793,321.5296325683594,23.28822898864746,1.0,0.0
5000,2,0.7570388108939524,36.5394172668457,326.09852600097656,23.853713989257812,1.0,0.0
5000,3,0.764393091601785,42.62132263183594,374.8168029785156,25.327518463134766,1.0,0.0
5000,4,0.8012182074474966,51.073062896728516,491.466796875,27.669145584106445,1.0,0.0
5000,5,0.7806733539679481,64.38938903808594,425.08172607421875,26.409883499145508,1.0,0.0
5500,0,0.8381161664022397,52.594940185546875,543.5198822021484,27.8165283203125,1.0,0.0
5500,1,0.7674986287990343,32.43388748168945,325.44903564453125,23.505191802978516,1.0,0.0
5500,2,0.7535257136944925,38.08907699584961,332.885986328125,24.213035583496094,1.0,0.0
5500,3,0.7633018601570871,45.5054817199707,385.8981018066406,25.735918045043945,1.0,0.0
5500,4,0.798672176299097,53.0301513671875,511.2431945800781,28.310327529907227,1.0,0.0
5500,5,0.776903000944647,69.28321075439453,448.6508483886719,27.263851165771484,1.0,0.0
6000,0,0.8380937397564344,53.48714065551758,559.8726806640625,28.232664108276367,1.0,0.0
6000,1,0.7646110632392098,33.02512741088867,328.6604461669922,23.710050582885742,1.0,0.0
6000,2,0.750676213330542,38.70576477050781,336.52294921875,24.437353134155273,1.0,0.0
6000,3,0.7647887616435058,47.81585693359375,396.3214111328125,26.030466079711914,1.0,0.0
6000,4,0.7963344209957205,54.25417709350586,525.4303588867188,28.784713745117188,1.0,0.0
6000,5,0.7747891997023171,73.98558807373047,472.4478454589844,28.053909301757812,1.0,0.0
6500,0,0.8376402990495979,53.87091064453125,572.5102844238281,28.564970016479492,1.0,0.0
6500,1,0.7618925832475953,33.06358337402344,328.5736083984375,23.791540145874023,1.0,0.0
6500,2,0.7464003641783467,39.598045349121094,338.73687744140625,24.65804672241211,1.0,0.0
6500,3,0.7636113822803555,50.28217697143555,404.07373046875,26.324342727661133,1.0,0.0
6500,4,0.7938190816620108,54.80330276489258,536.8844909667969,29.188966751098633,1.0,0.0
6500,5,0.7758435939193093,79.8681411743164,500.94696044921875,28.848405838012695,1.0,0.0
7000,0,0.8369841962390622,54.258384704589844,584.1168975830078,28.875669479370117,1.0,0.0
7000,1,0.7596344085100039,33.142005920410156,329.2059631347656,23.885210037231445,1.0,0.0
7000,2,0.7419789107117474,39.944664001464844,338.98382568359375,24.814048767089844,1.0,0.0
7000,3,0.7619837067279304,50.938690185546875,407.0052490234375,26.476110458374023,1.0,0.0
7000,4,0.789680005942895,55.689796447753906,542.8334655761719,29.504070281982422,1.0,0.0
7000,5,0.7721023774200504,81.7103500366211,515.6511840820312,29.4105224609375,1.0,0.0
7500,0,0.8355993040631216,54.32369613647461,589.8814697265625,29.0659236907959,1.0,0.0
7500,1,0.7575693271483322,33.46504592895508,328.9336242675781,23.940406799316406,1.0,0.0
7500,2,0.739753435655494,40.83800506591797,339.1889953613281,24.8962345123291,1.0,0.0
7500,3,0.7605510098325132,52.398216247558594,410.8992004394531,26.65256690979004,1.0,0.0
7500,4,0.7877170429386453,55.79169464111328,548.8043212890625,29.739805221557617,1.0,0.0
7500,5,0.7733725313680381,86.27788543701172,535.6062316894531,29.924983978271484,1.0,0.0
8000,0,0.8351229454641572,54.42508316040039,596.3973083496094,29.242685317993164,1.0,0.0
8000,1,0.7542741451333922,32.568931579589844,325.43641662597656,23.91681671142578,1.0,0.0
8000,2,0.7349632100628201,39.70037841796875,334.90972900390625,24.899932861328125,1.0,0.0
8000,3,0.7583998782765051,52.67348861694336,409.4547119140625,26.681150436401367,1.0,0.0
8000,4,0.7856863203576889,55.768741607666016,549.8621520996094,29.845396041870117,1.0,0.0
8000,5,0.7711033137202871,85.08995056152344,540.2891845703125,30.14396858215332,1.0,0.0
8500,0,0.8326726285645679,54.14463424682617,596.9890747070312,29.3432674407959,1.0,0.0
8500,1,0.7515998980765378,32.512569427490234,322.8064880371094,23.904743194580078,1.0,0.0
8500,2,0.731489908267714,39.74657440185547,332.1261291503906,24.913972854614258,1.0,0.0
8500,3,0.7564321752192372,53.88481521606445,409.1239013671875,26.739748001098633,1.0,0.0
8500,4,0.7824627751203623,55.47281265258789,546.6342468261719,29.880268096923828,1.0,0.0
8500,5,0.7690508271225516,86.12207794189453,547.2063903808594,30.41725730895996,1.0,0.0
9000,0,0.832506768288344,53.8878173828125,598.830810546875,29.394363403320312,1.0,0.0
9000,1,0.7492060203821105,32.054996490478516,319.04541015625,23.84101104736328,1.0,0.0
9000,2,0.7287418799150895,40.16654586791992,330.0014953613281,24.927812576293945,1.0,0.0
9000,3,0.7563203450446199,53.50827407836914,406.6153564453125,26.66158103942871,1.0,0.0
9000,4,0.7800384583750468,55.081871032714844,543.3259582519531,29.882295608520508,1.0,0.0
9000,5,0.7663692469863131,86.25200653076172,550.2791442871094,30.60930061340332,1.0,0.0
9500,0,0.8313564146998507,53.61106872558594,598.4625244140625,29.425968170166016,1.0,0.0
9500,1,0.7462091293035406,31.366500854492188,314.26853942871094,23.756893157958984,1.0,0.0
9500,2,0.7248895226411817,39.37530517578125,324.0543212890625,24.833423614501953,1.0,0.0
9500,3,0.7533221301342778,52.364070892333984,400.5491638183594,26.567277908325195,1.0,0.0
9500,4,0.7762016264219379,54.810333251953125,537.1756896972656,29.859567642211914,1.0,0.0
9500,5,0.764268806373422,85.59172058105469,550.0164184570312,30.686080932617188,1.0,0.0
10000,0,0.8299732468325913,53.29841613769531,596.2394104003906,29.42023468017578,1.0,0.0
10000,1,0.7440128478245406,31.366395950317383,310.74737548828125,23.69317054748535,1.0,0.0
10000,2,0.7206672669169112,38.57742691040039,318.32391357421875,24.757076263427734,1.0,0.0
10000,3,0.7511092455140456,51.66107940673828,393.9953918457031,26.426654815673828,1.0,0.0
10000,4,0.7754066057622466,54.8737678527832,534.795654296875,29.82387924194336,1.0,0.0
10000,5,0.7613634587450998,83.88793182373047,546.870849609375,30.714981079101562,1.0,0.0
10500,0,0.8294365650303009,52.483917236328125,592.0852661132812,29.336505889892578,1.0,0.0
10500,1,0.7409559006398436,30.131744384765625,304.4996795654297,23.55054473876953,1.0,0.0
10500,2,0.7187407100233005,37.67388153076172,313.217041015625,24.623516082763672,1.0,0.0
10500,3,0.7489077741009817,50.75807189941406,387.62017822265625,26.28902816772461,1.0,0.0
10500,4,0.7728832131474915,54.12144088745117,527.1451416015625,29.706457138061523,1.0,0.0
10500,5,0.7583434169248912,82.47509765625,540.6018371582031,30.660037994384766,1.0,0.0
11000,0,0.8287407842249506,52.14896011352539,588.9838562011719,29.28415298461914,1.0,0.0
11000,1,0.7379848331562829,30.076946258544922,299.82456970214844,23.463136672973633,1.0,0.0
11000,2,0.7151988933694425,36.92885971069336,307.594482421875,24.522367477416992,1.0,0.0
11000,3,0.7462211321259352,49.830448150634766,381.2268371582031,26.165210723876953,1.0,0.0
11000,4,0.7708659699520537,53.5545654296875,520.9668884277344,29.609153747558594,1.0,0.0
11000,5,0.7551934560616915,80.66644287109375,533.6080017089844,30.588119506835938,1.0,0.0
11500,0,0.8274229406734376,51.60629653930664,583.8673706054688,29.203115463256836,1.0,0.0
11500,1,0.7352365274629633,29.567773818969727,294.9539337158203,23.358745574951172,1.0,0.0
11500,2,0.7139327808882661,36.663578033447266,303.79296875,24.41356658935547,1.0,0.0
11500,3,0.7453867392987986,49.06135940551758,375.6768798828125,26.00312042236328,1.0,0.0
11500,4,0.7691895612714233,53.440853118896484,514.0733642578125,29.476707458496094,1.0,0.0
11500,5,0.7521483710321322,78.14764404296875,524.9112548828125,30.460676193237305,1.0,0.0
12000,0,0.8261264917210738,50.947879791259766,577.8795776367188,29.09859848022461,1.0,0.0
12000,1,0.7327431194320585,28.822587966918945,289.2384948730469,23.210052490234375,1.0,0.0
12000,2,0.7106249858052374,35.75593566894531,297.45745849609375,24.270109176635742,1.0,0.0
12000,3,0.7430375889992519,48.27227783203125,368.5762939453125,25.837617874145508,1.0,0.0
12000,4,0.7680152249583025,52.27168273925781,506.7046813964844,29.309436798095703,1.0,0.0
12000,5,0.7496485711706742,75.41358947753906,515.4789428710938,30.28639030456543,1.0,0.0
12500,0,0.8249817408552687,50.31047821044922,571.5298767089844,28.978424072265625,1.0,0.0
12500,1,0.730879932451029,28.284116744995117,284.2191467285156,23.066431045532227,1.0,0.0
12500,2,0.7083071004205744,34.91007995605469,291.9653015136719,24.123699188232422,1.0,0.0
12500,3,0.7413716996879309,47.153404235839844,362.5404052734375,25.682769775390625,1.0,0.0
12500,4,0.7662721073155566,51.73991394042969,498.92340087890625,29.14967155456543,1.0,0.0
12500,5,0.748401216324287,74.17776489257812,509.96478271484375,30.17416763305664,1.0,0.0
13000,0,0.8241428901608264,49.78122329711914,565.9440307617188,28.86581802368164,1.0,0.0
13000,1,0.7281739975310806,27.60886001586914,278.5140075683594,22.918596267700195,1.0,0.0
13000,2,0.7056140696578954,34.24125671386719,286.7782897949219,23.999685287475586,1.0,0.0
13000,3,0.739281010280603,45.98262405395508,355.4044494628906,25.50066566467285,1.0,0.0
13000,4,0.7648172634119095,51.08701705932617,491.683349609375,28.99245262145996,1.0,0.0
13000,5,0.7473680995859269,72.53640747070312,503.068359375,30.010887145996094,1.0,0.0
13500,0,0.8226011993241288,49.15966796875,558.7599487304688,28.73577880859375,1.0,0.0
13500,1,0.7268899745413379,27.173547744750977,275.0160827636719,22.814455032348633,1.0,0.0
13500,2,0.7036304466573707,33.56875991821289,281.8337707519531,23.858957290649414,1.0,0.0
13500,3,0.7375513637404557,45.04372024536133,349.45684814453125,25.34571075439453,1.0,0.0
13500,4,0.7633036354858003,50.37191390991211,484.4303894042969,28.834880828857422,1.0,0.0
13500,5,0.7455096458693269,71.46595764160156,496.144775390625,29.877939224243164,1.0,0.0
14000,0,0.8217929368323653,48.64664840698242,552.6972045898438,28.607563018798828,1.0,0.0
14000,1,0.7255096191115429,26.765661239624023,271.11277770996094,22.69505500793457,1.0,0.0
14000,2,0.7023829173789574,32.730342864990234,277.6796875,23.724538803100586,1.0,0.0
14000,3,0.736879766757739,44.134925842285156,344.3609924316406,25.18314552307129,1.0,0.0
14000,4,0.7625093397384978,49.764461517333984,477.9500732421875,28.671201705932617,1.0,0.0
14000,5,0.7442835296103272,69.13317108154297,487.3785400390625,29.661590576171875,1.0,0.0
14500,0,0.8208602174854253,48.105281829833984,547.0632934570312,28.493717193603516,1.0,0.0
14500,1,0.7237249568835328,26.426170349121094,267.4223327636719,22.595659255981445,1.0,0.0
14500,2,0.7009575121568873,32.18608093261719,273.62139892578125,23.598434448242188,1.0,0.0
14500,3,0.7356740163310359,43.22356414794922,339.3958435058594,25.041919708251953,1.0,0.0
14500,4,0.7608586507035473,49.13164138793945,471.16900634765625,28.528818130493164,1.0,0.0
14500,5,0.7429588041930312,68.25133514404297,480.7769470214844,29.512571334838867,1.0,0.0
15000,0,0.8200192420479466,47.63042449951172,541.7025146484375,28.38286018371582,1.0,0.0
15000,1,0.722123723266643,26.035146713256836,263.9085693359375,22.496484756469727,1.0,0.0
15000,2,0.6990319215478161,31.436382293701172,269.3775634765625,23.47920036315918,1.0,0.0
15000,3,0.7339345580925527,42.39892578125,334.1624450683594,24.907001495361328,1.0,0.0
15000,4,0.7600625802703078,48.26595687866211,464.61102294921875,28.35927391052246,1.0,0.0
15000,5,0.7416726582906429,66.74481964111328,472.7812805175781,29.31686019897461,1.0,0.0
15500,0,0.8193792679628378,47.17793655395508,537.0622253417969,28.28309440612793,1.0,0.0
15500,1,0.7208096531290707,25.812620162963867,261.0721893310547,22.416057586669922,1.0,0.0
15500,2,0.6974585803014465,31.046817779541016,266.2309265136719,23.394325256347656,1.0,0.0
15500,3,0.7324957005069108,41.98793029785156,330.1120300292969,24.804208755493164,1.0,0.0
15500,4,0.7594333321542579,47.735740661621094,459.7376403808594,28.233518600463867,1.0,0.0
15500,5,0.7406843509594698,65.63109588623047,466.6224060058594,29.164175033569336,1.0,0.0
16000,0,0.8189018362177153,46.8469123840332,533.4313659667969,28.203777313232422,1.0,0.0
16000,1,0.7198674492398112,25.497394561767578,258.52301025390625,22.3355655670166,1.0,0.0
16000,2,0.696439170616151,30.68643569946289,263.5501403808594,23.310319900512695,1.0,0.0
16000,3,0.7319564026638762,41.22719192504883,326.6429138183594,24.691713333129883,1.0,0.0
16000,4,0.7589597150717041,47.35515213012695,455.83135986328125,28.1308650970459,1.0,0.0
16000,5,0.7400426287804052,64.51287841796875,461.462646484375,29.027618408203125,1.0,0.0
16500,0,0.8185550617341291,46.543296813964844,530.1669311523438,28.12925148010254,1.0,0.0
16500,1,0.7192816549968771,25.38674545288086,256.91546630859375,22.284147262573242,1.0,0.0
16500,2,0.6959139799191394,30.320798873901367,261.5386657714844,23.238712310791016,1.0,0.0
16500,3,0.7311383327223628,40.614566802978516,323.60418701171875,24.60407829284668,1.0,0.0
16500,4,0.7588703304187039,47.05040740966797,452.8797607421875,28.042936325073242,1.0,0.0
16500,5,0.7393330214698486,63.81511306762695,457.36688232421875,28.92623519897461,1.0,0.0
17000,0,0.818039080474757,46.28866195678711,527.3617553710938,28.072437286376953,1.0,0.0
17000,1,0.7185073010015143,25.22003173828125,255.27749633789062,22.236928939819336,1.0,0.0
17000,2,0.6953052145972055,30.077213287353516,259.8589782714844,23.184253692626953,1.0,0.0
17000,3,0.7306815616646648,40.257259368896484,321.5200500488281,24.540061950683594,1.0,0.0
17000,4,0.7587399309571159,46.8580436706543,450.529541015625,27.97486686706543,1.0,0.0
17000,5,0.7389686556972984,63.228824615478516,454.0774230957031,28.83623695373535,1.0,0.0
17500,0,0.8176722124356826,46.1406135559082,525.171142578125,28.026628494262695,1.0,0.0
17500,1,0.7180103850466837,25.06190299987793,253.9923095703125,22.196231842041016,1.0,0.0
17500,2,0.6946319015866901,29.814437866210938,258.37030029296875,23.14015769958496,1.0,0.0
17500,3,0.7301474838026404,39.976863861083984,319.72760009765625,24.48946762084961,1.0,0.0
17500,4,0.7584609968366958,46.675987243652344,448.4604797363281,27.920839309692383,1.0,0.0
17500,5,0.7385682609006777,62.60746383666992,451.39630126953125,28.766551971435547,1.0,0.0
18000,0,0.8175506794523147,46.03411865234375,524.0543518066406,28.000974655151367,1.0,0.0
18000,1,0.7177083837140179,25.011857986450195,253.3065643310547,22.175586700439453,1.0,0.0
18000,2,0.6943963270406713,29.73421287536621,257.6131591796875,23.114070892333984,1.0,0.0
18000,3,0.7298408790998356,39.90970230102539,318.7903747558594,24.463829040527344,1.0,0.0
18000,4,0.7582578685516387,46.53584289550781,447.0695495605469,27.88496971130371,1.0,0.0
18000,5,0.7382192625426461,62.275753021240234,449.38372802734375,28.715946197509766,1.0,0.0
18500,0,0.8174303877937453,45.9570426940918,523.2312622070312,27.98309898376465,1.0,0.0
18500,1,0.7175042507373924,24.961732864379883,252.7954559326172,22.159502029418945,1.0,0.0
18500,2,0.6941933446561023,29.680252075195312,257.0428771972656,23.09521484375,1.0,0.0
18500,3,0.7296543044481978,39.70694351196289,317.96295166015625,24.43830108642578,1.0,0.0
18500,4,0.7582122615629814,46.45954513549805,446.3157958984375,27.863126754760742,1.0,0.0
18500,5,0.7380738276983234,62.01706314086914,448.15521240234375,28.682300567626953,1.0,0.0
19000,0,0.8174243181677421,45.918636322021484,522.8506164550781,27.973098754882812,1.0,0.0
19000,1,0.7174610522308934,24.95177459716797,252.6035919189453,22.15241050720215,1.0,0.0
19000,2,0.6940344874724028,29.61846351623535,256.7130126953125,23.085683822631836,1.0,0.0
19000,3,0.7295974057694442,39.641334533691406,317.5820007324219,24.425535202026367,1.0,0.0
19000,4,0.7581507689551517,46.417720794677734,445.8738098144531,27.851606369018555,1.0,0.0
19000,5,0.7379808969812065,61.94459915161133,447.67572021484375,28.67058563232422,1.0,0.0
19500,0,0.8173947058116784,45.901241302490234,522.6593627929688,27.969022750854492,1.0,0.0
19500,1,0.7174113701733849,24.941179275512695,252.5020751953125,22.149497985839844,1.0,0.0
19500,2,0.6940019900708747,29.61090660095215,256.62353515625,23.082754135131836,1.0,0.0
19500,3,0.7295810967911716,39.63692092895508,317.4708251953125,24.42182159423828,1.0,0.0
19500,4,0.7581459853434788,46.41144943237305,445.74395751953125,27.84772300720215,1.0,0.0
19500,5,0.737928928974492,61.88840866088867,447.3809509277344,28.663166046142578,1.0,0.0
20000,0,0.8173919743045526,45.89921569824219,522.6344604492188,27.96845054626465,1.0,0.0
20000,1,0.7173993901301303,24.937326431274414,252.48007202148438,22.14889907836914,1.0,0.0
20000,2,0.6939905615748447,29.603830337524414,256.59832763671875,23.081981658935547,1.0,0.0
20000,3,0.7295788308489702,39.6335563659668,317.45306396484375,24.42120361328125,1.0,0.0
20000,4,0.7581453479685797,46.40705108642578,445.7140197753906,27.846813201904297,1.0,0.0
20000,5,0.737929491485846,61.87930679321289,447.340087890625,28.661823272705078,1.0,0.0
